,region,birth_year,age,avg,var
0,south east,2002,0,0.1498555594835819,5.5317093493484404e-05
1,south east,2002,1,0.1508315689875338,5.843740545077426e-05
2,south east,2002,2,0.14116179084667746,3.1498090174921115e-05
3,south east,2002,3,0.11985650006872658,2.1453868640047206e-05
4,south east,2002,4,0.09428005860581767,2.077385740861911e-05
5,south east,2002,5,0.07019958377282183,1.694479686529125e-05
6,south east,2002,6,0.050482287426368594,1.1242837326112414e-05
7,south east,2002,7,0.035964561258896695,6.8436687362834e-06
8,south east,2002,8,0.025674400460775165,3.9655268820206865e-06
9,south east,2002,9,0.018688239602269216,2.3758137264052136e-06
10,south east,2002,10,0.014459843113072133,1.5468937116517515e-06
11,south east,2002,11,0.0119619390948997,1.1348050859769363e-06
12,south east,2002,12,0.010579393004181144,9.435802508790491e-07
13,south east,2002,13,0.009897925394769929,8.425326988296705e-07
14,south east,2002,14,0.009516016839649907,8.124037402732176e-07
15,south east,2002,15,0.009255601647215608,8.339288300378813e-07
16,south east,2002,16,0.009000840298558955,8.822949104820628e-07
17,south east,2002,17,0.00873963623125214,1.0048253689647079e-06
18,south east,2002,18,0.008458525829407171,1.1906759490460921e-06
19,south east,2002,19,0.008065567265568294,1.4183694289587804e-06
20,south east,2002,20,0.007691660155437154,1.6931867001017754e-06
21,south east,2002,21,0.007345986758944368,1.9879215462325284e-06
22,south east,2002,22,0.007118425459320878,2.304767975086945e-06
23,south east,2002,23,0.006993641701564367,2.6000436295296906e-06
24,south east,2002,24,0.00695643236741698,2.773536942944188e-06
25,south east,2002,25,0.006964014325271018,2.7085915399767727e-06
26,south east,2003,0,0.14990923657554267,5.5824108518871385e-05
27,south east,2003,1,0.15086775353837012,5.921826329294918e-05
28,south east,2003,2,0.14112526204563325,3.21013639525638e-05
29,south east,2003,3,0.1197646008920836,2.1863133436373174e-05
30,south east,2003,4,0.09426924395726943,2.1117892463572677e-05
31,south east,2003,5,0.07020650496351623,1.7148340987870727e-05
32,south east,2003,6,0.05051115049523195,1.140556513396669e-05
33,south east,2003,7,0.03600752506431844,6.945233621977589e-06
34,south east,2003,8,0.025693874691936465,4.021081287129095e-06
35,south east,2003,9,0.01868736208741959,2.399181277270245e-06
36,south east,2003,10,0.014455320770329629,1.5628527817683038e-06
37,south east,2003,11,0.011947015602301167,1.147283709233868e-06
38,south east,2003,12,0.010565658621182406,9.507725350270249e-07
39,south east,2003,13,0.00988778745543548,8.484687594011015e-07
40,south east,2003,14,0.009510753605137241,8.187437090748341e-07
41,south east,2003,15,0.009252042281348216,8.378456746969163e-07
42,south east,2003,16,0.009000936361473746,8.901000585450144e-07
43,south east,2003,17,0.008739935826311648,1.0109393419648385e-06
44,south east,2003,18,0.008460781132003697,1.1966712088188018e-06
45,south east,2003,19,0.008066601448430343,1.4234746853778396e-06
46,south east,2003,20,0.007692649289705619,1.6972623388561436e-06
47,south east,2003,21,0.007346791118891841,1.993993063923282e-06
48,south east,2003,22,0.007118749519272965,2.3060214404572854e-06
49,south east,2003,23,0.0069925588486446,2.6039935011133224e-06
50,south east,2003,24,0.0069565448963558735,2.7791056055323904e-06
51,south east,2003,25,0.0069633589118536935,2.7100060254490427e-06
52,south east,2004,0,0.14973731257707987,5.063306909614247e-05
53,south east,2004,1,0.15066078363466523,5.3833599696539136e-05
54,south east,2004,2,0.14132625195040047,2.9003458152344147e-05
55,south east,2004,3,0.12015864034547619,1.9387853974705176e-05
56,south east,2004,4,0.09436239421733535,1.892323182372374e-05
57,south east,2004,5,0.07014707992026559,1.5496297484690482e-05
58,south east,2004,6,0.05036215932695781,1.0359062527362416e-05
59,south east,2004,7,0.03587424538801802,6.347526774554942e-06
60,south east,2004,8,0.025555518563173844,3.6737531463581873e-06
61,south east,2004,9,0.018645991752517948,2.2191677511677234e-06
62,south east,2004,10,0.014467294349285793,1.4605986062076898e-06
63,south east,2004,11,0.011998160920524472,1.0797191797339022e-06
64,south east,2004,12,0.010625742465176646,8.978572324141129e-07
65,south east,2004,13,0.009938403819226614,8.077224803542604e-07
66,south east,2004,14,0.009548961984144625,7.795966905896152e-07
67,south east,2004,15,0.009276216799018954,8.012536789164356e-07
68,south east,2004,16,0.009005150734857225,8.503571090413776e-07
69,south east,2004,17,0.008732720788792562,9.724223106992725e-07
70,south east,2004,18,0.008447623798563193,1.1621161496900558e-06
71,south east,2004,19,0.00805364974246035,1.3911200225553382e-06
72,south east,2004,20,0.007682406409749103,1.6693985032927835e-06
73,south east,2004,21,0.007348965587548294,1.974968493000475e-06
74,south east,2004,22,0.007122105581255367,2.293870209776442e-06
75,south east,2004,23,0.006997082785575247,2.5898039858864387e-06
76,south east,2004,24,0.006958862360230467,2.7678171842997646e-06
77,south east,2004,25,0.006966274197700075,2.7055000813219555e-06
78,south east,2005,0,0.14912715793430922,4.388840292023796e-05
79,south east,2005,1,0.1501765827594435,4.658124239466306e-05
80,south east,2005,2,0.14194497410444723,2.5458874398003184e-05
81,south east,2005,3,0.12126466573914858,1.6776881432987464e-05
82,south east,2005,4,0.0946651762373507,1.58946309585661e-05
83,south east,2005,5,0.0699580180777698,1.3109071541600392e-05
84,south east,2005,6,0.04978238921681982,8.684941435920688e-06
85,south east,2005,7,0.03541520928230104,5.3425061695232765e-06
86,south east,2005,8,0.025270069204116404,3.113354550024289e-06
87,south east,2005,9,0.01858280275446932,1.925243964946571e-06
88,south east,2005,10,0.01454741391276832,1.2993283578889776e-06
89,south east,2005,11,0.012144399383696658,9.783455041846054e-07
90,south east,2005,12,0.010793321103875689,8.194033050607668e-07
91,south east,2005,13,0.010079353364940695,7.405341062461362e-07
92,south east,2005,14,0.009645713464208203,7.143493034363456e-07
93,south east,2005,15,0.009329059802441638,7.331082931127927e-07
94,south east,2005,16,0.009019754116473388,7.823162679536078e-07
95,south east,2005,17,0.008720172751724703,9.131539881461042e-07
96,south east,2005,18,0.008409160656804828,1.1092509364357576e-06
97,south east,2005,19,0.008028661566704781,1.3469648739607811e-06
98,south east,2005,20,0.007669801916864347,1.634938651083212e-06
99,south east,2005,21,0.007351620721914702,1.950715242339557e-06
100,south east,2005,22,0.007127879144828864,2.273163896088346e-06
101,south east,2005,23,0.007006368112087863,2.5781938392874655e-06
102,south east,2005,24,0.0069663394272796095,2.757681916715913e-06
103,south east,2005,25,0.006973935243212302,2.6991637377244364e-06
104,south east,2006,0,0.14779266926712395,3.776964793109476e-05
105,south east,2006,1,0.14957241240722513,3.914055588861344e-05
106,south east,2006,2,0.14309588356421554,2.2219024959053428e-05
107,south east,2006,3,0.12314326648719644,1.536032015394859e-05
108,south east,2006,4,0.09521071469087661,1.3925443862477836e-05
109,south east,2006,5,0.06917202354651086,1.0780762641872914e-05
110,south east,2006,6,0.04872554239891022,7.036119364052576e-06
111,south east,2006,7,0.03473507785088433,4.372947970644619e-06
112,south east,2006,8,0.024950232584026774,2.5851407390625543e-06
113,south east,2006,9,0.018612675580609507,1.6479896073394527e-06
114,south east,2006,10,0.014740958892843915,1.1458547448430687e-06
115,south east,2006,11,0.012407799160600643,8.825822647359162e-07
116,south east,2006,12,0.011068645268358773,7.435375272885917e-07
117,south east,2006,13,0.01029885874716019,6.762957405883667e-07
118,south east,2006,14,0.009791706154993954,6.451434255553344e-07
119,south east,2006,15,0.009409168660376782,6.65126926334515e-07
120,south east,2006,16,0.00904059298336694,7.188127005992043e-07
121,south east,2006,17,0.00870091984886277,8.602479806512183e-07
122,south east,2006,18,0.008364694978279307,1.064271466698152e-06
123,south east,2006,19,0.008004884162312207,1.3195286002889899e-06
124,south east,2006,20,0.007659510742889867,1.6135206252444724e-06
125,south east,2006,21,0.007361621230424788,1.9369175114570634e-06
126,south east,2006,22,0.007144139191518582,2.273708181102688e-06
127,south east,2006,23,0.007023075327823095,2.580539096431414e-06
128,south east,2006,24,0.006982759500577679,2.759195674523129e-06
129,south east,2006,25,0.006990166772030862,2.6983167016607717e-06
130,south east,2007,0,0.14549035742487057,3.197102562544183e-05
131,south east,2007,1,0.1491054893674546,3.274144024360618e-05
132,south east,2007,2,0.14492337895935345,1.9803976572758234e-05
133,south east,2007,3,0.1258295373626324,1.5164489042516146e-05
134,south east,2007,4,0.09496955519480184,1.2457624817101264e-05
135,south east,2007,5,0.06771436847701431,9.00757037430382e-06
136,south east,2007,6,0.04749628319260142,5.710279305326787e-06
137,south east,2007,7,0.03398162098397266,3.6096822009442136e-06
138,south east,2007,8,0.024819361279407922,2.190454746703588e-06
139,south east,2007,9,0.018832561128410863,1.4447301794554284e-06
140,south east,2007,10,0.015099497606581462,1.0278318106176707e-06
141,south east,2007,11,0.01281540430682753,8.173289556992966e-07
142,south east,2007,12,0.01145058497745427,6.930221986477186e-07
143,south east,2007,13,0.010588622186726739,6.257875738416748e-07
144,south east,2007,14,0.00998210145001403,5.977165847053389e-07
145,south east,2007,15,0.009509689821578635,6.160136827458822e-07
146,south east,2007,16,0.009070622784702746,6.844775505129968e-07
147,south east,2007,17,0.008689590357874581,8.326631441667936e-07
148,south east,2007,18,0.008336814061790742,1.0483326550986395e-06
149,south east,2007,19,0.00798868195699309,1.3153258963607414e-06
150,south east,2007,20,0.00766215136676266,1.6202903965747935e-06
151,south east,2007,21,0.007381856832287154,1.9490903465731788e-06
152,south east,2007,22,0.007172540436547378,2.2923283978449798e-06
153,south east,2007,23,0.007054090441513293,2.6012731522668886e-06
154,south east,2007,24,0.007013735325678895,2.7771006827669593e-06
155,south east,2007,25,0.00702150271614551,2.7145560412163592e-06
156,south east,2008,0,0.14218627834909753,2.6757897272075804e-05
157,south east,2008,1,0.14923135712243762,2.7887885200264267e-05
158,south east,2008,2,0.1476750848826478,1.8726805807556518e-05
159,south east,2008,3,0.12692077030444804,1.5152507745989291e-05
160,south east,2008,4,0.09374988358282732,1.1608067245381751e-05
161,south east,2008,5,0.06614640636857722,7.82089187531483e-06
162,south east,2008,6,0.0464314333720039,4.834320177245209e-06
163,south east,2008,7,0.03362922121322478,3.1366268999733785e-06
164,south east,2008,8,0.02505410738897445,1.9751085104608614e-06
165,south east,2008,9,0.0193399699293839,1.3380057769908442e-06
166,south east,2008,10,0.01568562103428748,9.804938471587903e-07
167,south east,2008,11,0.013391793090273635,7.927607973662588e-07
168,south east,2008,12,0.011947918298966295,6.703961247311991e-07
169,south east,2008,13,0.010952561391855539,6.058920273964991e-07
170,south east,2008,14,0.010215929659581175,5.827542730817895e-07
171,south east,2008,15,0.009632489248630093,6.030414964416724e-07
172,south east,2008,16,0.009132578597692328,6.835015605956972e-07
173,south east,2008,17,0.008711808445828759,8.41828157620003e-07
174,south east,2008,18,0.008345535425026454,1.068558834836445e-06
175,south east,2008,19,0.008003344080902473,1.3409391758180744e-06
176,south east,2008,20,0.007692320662332995,1.6634671370031755e-06
177,south east,2008,21,0.007426206631834129,1.9962907458938998e-06
178,south east,2008,22,0.007228053480699279,2.3475175516318216e-06
179,south east,2008,23,0.0071136794219714755,2.6517969800520195e-06
180,south east,2008,24,0.00707437684285688,2.819811604083654e-06
181,south east,2008,25,0.007081271173638319,2.757651377325514e-06
182,south east,2009,0,0.13824570580103682,2.303738185785171e-05
183,south east,2009,1,0.15049616166289678,2.603556297208392e-05
184,south east,2009,2,0.1485852940964999,1.8328600204809954e-05
185,south east,2009,3,0.12578390457415448,1.5229186841671118e-05
186,south east,2009,4,0.09208739599304455,1.129054155731555e-05
187,south east,2009,5,0.06472591043161723,7.077155208808143e-06
188,south east,2009,6,0.04620882693842403,4.509487297801948e-06
189,south east,2009,7,0.03402779949734935,2.9764316715246283e-06
190,south east,2009,8,0.025826609976600315,1.9529108036334353e-06
191,south east,2009,9,0.020238700173822188,1.3581005801067754e-06
192,south east,2009,10,0.016565453614495546,1.0255387240607052e-06
193,south east,2009,11,0.01417227509816895,8.36751578221767e-07
194,south east,2009,12,0.012573156399797888,7.078062841383786e-07
195,south east,2009,13,0.011409955448168635,6.334158907143999e-07
196,south east,2009,14,0.01050774027349632,6.095761870794417e-07
197,south east,2009,15,0.009815188302688587,6.352247687531224e-07
198,south east,2009,16,0.009255810804350152,7.293651302626311e-07
199,south east,2009,17,0.008796321980785107,8.93798212971363e-07
200,south east,2009,18,0.008409232080295276,1.1289758892070185e-06
201,south east,2009,19,0.008066321621820575,1.4066012812398728e-06
202,south east,2009,20,0.007769519351302326,1.7409527043596492e-06
203,south east,2009,21,0.007517385618193435,2.0893515572039132e-06
204,south east,2009,22,0.007328484754916425,2.4470121709703473e-06
205,south east,2009,23,0.007218030393878639,2.742230991371771e-06
206,south east,2009,24,0.007181730740582971,2.914891065844183e-06
207,south east,2009,25,0.007187084371613658,2.8453428326689265e-06
208,south east,2010,0,0.13471459004985023,2.079275147918882e-05
209,south east,2010,1,0.14993950847944956,2.5681992708438273e-05
210,south east,2010,2,0.1468430014463983,1.8518289595183545e-05
211,south east,2010,3,0.12312184461295117,1.5524822193783572e-05
212,south east,2010,4,0.08990984830316015,1.1033810132573487e-05
213,south east,2010,5,0.06453954411169346,7.010196500613028e-06
214,south east,2010,6,0.04722023841172835,4.6675303473744714e-06
215,south east,2010,7,0.03538023111423844,3.1322999064089864e-06
216,south east,2010,8,0.027277391256782302,2.150930293085479e-06
217,south east,2010,9,0.02159274611062976,1.5222409972653523e-06
218,south east,2010,10,0.017765225806883753,1.1837617497861536e-06
219,south east,2010,11,0.015165706829130158,9.670540918592313e-07
220,south east,2010,12,0.013320008282971006,8.1881734085139e-07
221,south east,2010,13,0.011956367494965293,7.263414094843611e-07
222,south east,2010,14,0.01088652281764773,6.98070153092103e-07
223,south east,2010,15,0.010083454194569854,7.241733389424012e-07
224,south east,2010,16,0.009458585950536667,8.302642438476476e-07
225,south east,2010,17,0.008954318348517808,9.982894494365116e-07
226,south east,2010,18,0.008540067954529057,1.2332845236332202e-06
227,south east,2010,19,0.008195514808442826,1.5238847846804533e-06
228,south east,2010,20,0.007903842417504088,1.8658889366665862e-06
229,south east,2010,21,0.007665919775663509,2.231779333163136e-06
230,south east,2010,22,0.007486969258809471,2.6010656065639964e-06
231,south east,2010,23,0.0073813545166898815,2.893332529634311e-06
232,south east,2010,24,0.0073465066707102495,3.061611507988127e-06
233,south east,2010,25,0.007350690975547496,2.9871773004685932e-06
234,south east,2011,0,0.1308951180499918,2.0375662681922056e-05
235,south east,2011,1,0.14673059757234674,2.592889611192322e-05
236,south east,2011,2,0.14260431351264416,1.9474813630073644e-05
237,south east,2011,3,0.11813498178914049,1.573753309115385e-05
238,south east,2011,4,0.08877385573674301,1.139176345285262e-05
239,south east,2011,5,0.06607007321053589,7.658320019734586e-06
240,south east,2011,6,0.04962121657786376,5.294967764826594e-06
241,south east,2011,7,0.03777087275978676,3.6236833367897848e-06
242,south east,2011,8,0.029413716433130833,2.557717707703379e-06
243,south east,2011,9,0.023390944954522368,1.8475744355508302e-06
244,south east,2011,10,0.01925654868697171,1.4775269521701333e-06
245,south east,2011,11,0.01632457089583236,1.2180558901684288e-06
246,south east,2011,12,0.014182707076902511,1.0285190146029387e-06
247,south east,2011,13,0.012588897428633755,9.088910655228847e-07
248,south east,2011,14,0.011360584975863983,8.671761573943391e-07
249,south east,2011,15,0.010435945833080239,8.852982181989459e-07
250,south east,2011,16,0.00973546285246582,9.811056569426856e-07
251,south east,2011,17,0.009182406033548,1.154819278957945e-06
252,south east,2011,18,0.008739101047699248,1.3918283157492954e-06
