,state,time,avg,var
0,abia,2008-01-01,5747.385326939654,103392.22975477371
1,abia,2008-02-01,6288.115053091015,118867.72927274767
2,abia,2008-03-01,6953.307337684448,140703.50519845396
3,abia,2008-04-01,7133.883822418426,140508.99508658296
4,abia,2008-05-01,6996.005914695744,133611.96601747136
5,abia,2008-06-01,6899.790844126732,131907.17683204828
6,abia,2008-07-01,6415.711507507159,121333.4516164467
7,abia,2008-08-01,6039.903397679884,109587.81318759063
8,abia,2008-09-01,5747.046940691656,103761.37169266854
9,abia,2008-10-01,5678.815521845228,101649.78240264083
10,abia,2008-11-01,5351.739582941588,94091.59738844009
11,abia,2008-12-01,5271.071821136126,58006.86410638545
12,abia,2009-01-01,5146.23446937511,89308.81683024096
13,abia,2009-02-01,5659.652722884052,106442.7998876005
14,abia,2009-03-01,6271.9049765941245,121012.17365297883
15,abia,2009-04-01,6372.609157613034,125259.57787319968
16,abia,2009-05-01,6103.43605913629,113739.13331168448
17,abia,2009-06-01,6082.488105218462,114910.67697029912
18,abia,2009-07-01,5806.365331984045,108009.7340799728
19,abia,2009-08-01,5510.063633838242,98753.80806703377
20,abia,2009-09-01,5265.032240975468,94627.71362430153
21,abia,2009-10-01,5228.238610494825,95845.1035197288
22,abia,2009-11-01,4930.732193196357,84508.01883659267
23,abia,2009-12-01,4747.987743623732,44659.624016631016
24,abia,2010-01-01,4697.636467987461,77591.79195841997
25,abia,2010-02-01,5203.237222121939,93339.32855701324
26,abia,2010-03-01,5677.67244140282,102625.98269650598
27,abia,2010-04-01,5740.992199956974,103724.83490498872
28,abia,2010-05-01,5549.060681409022,98934.27775724788
29,abia,2010-06-01,5603.094011890176,98223.82655346084
30,abia,2010-07-01,5482.65307599771,98225.86441460723
31,abia,2010-08-01,5202.750539074389,89552.81115675323
32,abia,2010-09-01,4977.906771489381,85845.1095955487
33,abia,2010-10-01,4911.181090170295,87239.51840540151
34,abia,2010-11-01,4568.75926053215,76057.54080839569
35,abia,2010-12-01,4395.844642742668,38522.890442027274
36,abia,2011-01-01,4281.654463982722,65094.3851828717
37,abia,2011-02-01,4749.165275497991,78734.39876170794
38,abia,2011-03-01,5024.630222476408,83153.14638639602
39,abia,2011-04-01,5187.227055397475,84848.0636753226
40,abia,2011-05-01,5137.4912410672805,84515.32944347507
41,abia,2011-06-01,5235.993003416999,87393.77493432189
42,abia,2011-07-01,5127.606996311082,85036.67553362029
43,abia,2011-08-01,4975.574265960579,80714.51730468043
44,abia,2011-09-01,4759.557263244297,78338.63990999463
45,abia,2011-10-01,4625.818560920509,77080.55603492339
46,abia,2011-11-01,4238.335873430698,65313.307292240796
47,abia,2011-12-01,4088.5561927102676,34167.53528577718
48,abia,2012-01-01,4021.629508951753,59274.46386218794
49,abia,2012-02-01,4307.659591370807,66181.55304121978
50,abia,2012-03-01,4567.058293369837,70746.2041208507
51,abia,2012-04-01,4797.10009723932,74381.60289908623
